Time series;Closing price;MA-15;MACD-26;RSI-14;WR-14;D-3;K-14;Trend;Trading signals
1;376.28;0.7911392405063049;0.903318896419015;0.0;0.0;0.0;0.6716633948042207;no;0.43491124260354325
2;376.72;1.0;0.7391081583989274;1.0;0.33069306930692116;0.7286080980641838;0.8662076719220998;no;0.33465346534653906
3;373.34;0.0;0.0;0.0;1.0;1.0;0.0;no;0.0
4;378.39;0.0;0.0;0.7772437120860958;0.333333333333341;0.7542349179376969;0.0;no;0.33333333333332965
5;379.25;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
6;376.67;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
7;365.2;1.0;0.0;0.0;1.0;0.012409279175059951;0.0;no;0.0
8;374.95;0.018796992481817588;0.0;0.0;1.0;0.0;0.0;no;0.0
9;375.07;0.817079269817383;0.7151676630646063;0.8032842411600819;0.14681892332789662;0.0;0.7350906500092856;no;0.4265905383360517
10;376.87;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
11;364.61;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
12;350.49;1.0;1.0;0.8712777859438905;0.4383678251398143;1.0;1.0;no;0.5
13;348.13;1.0;1.0;0.0;1.0;1.0;0.8416160276203877;no;0.0
14;348.98;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
15;354.48;1.0;1.0;1.0;0.0;0.0;0.7573351074832062;down;0.5
16;351.45;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
17;350.17;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
18;350.17;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
19;330.02;1.0;1.0;1.0;1.0;1.0;1.0;down;0.5
20;321.1;1.0;1.0;0.32143262695294694;1.0;1.0;0.8529037623045949;down;0.5
21;312.17;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
22;318.0;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
23;329.99;1.0;0.262733851276627;0.48002857904314006;0.4507508026982012;0.0;0.0;down;0.46404341926730175
24;323.15;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
25;330.52;1.0;0.0;0.39282032782770226;0.40547984221244526;0.0;0.0;down;0.31385767790262104
26;335.49;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
27;322.14;1.0;0.34020427023764765;0.13719679430378978;0.9203810734952785;1.0;0.34880777128497464;down;0.11966927763272402
28;319.39;1.0;0.0;0.0;0.8718168482748142;0.955215994960833;0.0;down;0.11674449633088718
29;330.88;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
30;315.89;1.0;1.0;0.33876719135548755;0.6269488045184961;1.0;1.0;down;0.3
31;316.63;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
32;314.78;1.0;0.585910449878477;0.2167835127693696;0.9428975086127627;0.82600706975256;0.4387646019858501;down;0.1942544459644305
33;311.94;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
34;319.25;1.0;0.0;1.0;0.0;0.0;1.0;down;0.5
35;316.31;0.864332603938703;0.8594383343230307;0.9863149027282564;0.0;0.0;1.0;down;0.49672131147541004
36;316.51;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
37;286.01;1.0;1.0;0.634941293984715;1.0;1.0;0.8016962080866054;no;0.5
38;264.62;1.0;1.0;0.0;1.0;1.0;0.0;no;0.0
39;276.8;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
40;276.8;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
41;276.8;1.0;1.0;0.0;1.0;1.0;0.0;down;0.0
42;276.8;1.0;0.0;0.0;1.0;1.0;0.0;down;0.0
43;276.8;1.0;0.0;0.0;1.0;1.0;0.0;down;0.0
44;276.8;1.0;0.0;1.0;0.0;1.0;0.5776656450729829;down;0.5
45;276.8;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
46;268.16;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
47;221.0;1.0;1.0;0.27792090986110196;1.0;0.8972446166705917;0.7066583907538915;down;0.5
48;162.0;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
49;208.81;1.0;1.0;1.0;0.26145264285993997;0.0;0.0;down;0.5
50;206.6;1.0;1.0;0.24758079144451642;1.0;0.0;0.0;down;0.28710247349823337
51;200.1;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
52;211.42;1.0;0.0;0.0;1.0;0.0;0.0;down;0.029310344827584135
53;216.88;1.0;0.0;0.18844779638108772;0.6687607081667623;0.0;0.0;down;0.16561964591661868
54;211.08;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
55;228.59;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
56;233.0;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
57;233.03;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
58;249.99;1.0;0.0;0.0;0.5702159753460743;0.0;0.0;no;0.0
59;253.09;1.0;0.0;0.0;0.0;1.0;0.0;no;0.0
60;269.5;0.3401315789473885;0.0;1.0;0.0;1.0;1.0;no;0.5
61;262.99;0.0;0.0;1.0;0.0;1.0;1.0;no;0.5
62;236.2;0.0;0.8065558176721611;1.0;0.0;1.0;1.0;no;0.5
63;234.75;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
64;232.6;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
65;217.98;0.0;0.8559999110041342;0.09503357000106;0.6224009771544482;1.0;1.0;no;0.06862321968062106
66;214.8;0.0;0.0;0.0;1.0;0.0;0.6331292983549387;no;0.0
67;237.97;0.0;0.0;1.0;0.0;0.0;1.0;no;0.5
68;227.35;0.0;0.5492537144276263;1.0;0.0;0.4846027043713806;1.0;no;0.5
69;227.0;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
70;217.0;1.0;0.0;0.0;1.0;0.0;1.0;no;0.0
71;222.88;1.0;0.0;0.0;1.0;0.0;0.1753447933025539;no;0.0
72;228.61;1.0;0.0;1.0;0.0;0.0;1.0;no;0.5
73;224.19;1.0;0.0;1.0;1.0;1.0;0.0;down;0.5
74;220.72;1.0;0.0;0.8438791142505374;1.0;1.0;0.0;down;0.43715846994535745
75;220.95;1.0;0.0;0.3951017501847561;1.0;0.40897166225153997;0.0;down;0.2739520958083806
76;219.12;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
77;222.46;0.0;0.0;0.0;1.0;0.0;0.0;down;0.0
78;236.86;0.0;0.0;0.19665398167988257;0.31241434598675577;0.0;0.0;no;0.059648388447049484
79;257.9;0.0;0.0;1.0;0.0;1.0;1.0;no;0.5
80;234.01;0.0;0.0;0.0;1.0;1.0;1.0;no;0.0
81;236.55;0.0;0.0;0.15257772158014984;0.9171210468920379;1.0;0.22019362910560808;no;0.04143947655398135
82;244.96;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
83;235.79;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
84;242.67;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
85;246.1;0.0;0.0;1.0;0.0;0.0;0.5791868104065585;up;1.0
86;245.87;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
87;236.68;0.0;1.0;0.0;1.0;1.0;1.0;up;0.5
88;238.92;0.0;0.7939107032974768;0.5808571906959041;0.0;1.0;1.0;up;0.7721893491124228
89;239.69;0.0;1.0;1.0;0.0;0.029585401883540183;1.0;up;1.0
90;238.0;0.0;0.18716009987392315;0.0866769022473048;0.7769604765613335;0.34259844284843793;0.4935727686033969;no;0.03973105134474359
91;236.7;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
92;253.06;0.0;0.0;0.03655687121889596;0.9896392839332357;0.0;0.0;no;0.014134275618376706
93;252.98;0.05226306576642825;0.0;0.0;1.0;0.0;0.0;no;0.0
94;255.81;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
95;274.0;0.0;0.0;0.7217743813253837;0.0;0.0;0.0;no;0.22737186477644541
96;279.0;0.0;0.0;1.0;0.0;1.0;1.0;no;0.5
97;269.83;0.0;0.0;0.0;1.0;1.0;0.0;no;0.0
98;273.8;0.0;0.0;0.3764471813294007;0.7682403433476294;1.0;0.02936625952680258;up;0.6158798283261855
99;273.26;0.0;0.0;0.0;1.0;1.0;0.0;up;0.5
100;275.59;0.0;0.0;0.1082210173406342;0.9139627813537538;0.7120252272910542;0.0;up;0.5289017341040457
101;274.89;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
102;287.0;0.0;0.0;0.0;0.12190717520788777;0.0;0.0;up;0.5
103;290.24;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
104;295.11;0.0;0.0;0.9826612429350567;0.0;0.543655071584269;0.6729959137831354;up;0.9798387096774199
105;295.56;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
106;284.4;0.0;1.0;0.7057310056240629;0.0;1.0;1.0;up;0.7297297297297289
107;282.7;0.0;1.0;0.0;1.0;1.0;1.0;up;0.5
108;286.4;0.0;1.0;0.6330162943789212;0.30400149214350236;1.0;1.0;up;0.6851145038167934
109;289.7;0.5181943804698057;1.0;1.0;0.0;1.0;1.0;up;1.0
110;284.46;1.0;1.0;1.0;0.0;1.0;1.0;up;1.0
111;257.29;1.0;1.0;0.0;1.0;1.0;1.0;no;0.0
112;262.01;1.0;1.0;0.9606522020136935;0.034934497816584205;0.9853506919076271;1.0;no;0.48253275109170624
113;262.09;1.0;1.0;0.20638250894129093;0.761209593326385;0.0;1.0;no;0.11939520333680759
114;259.8;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
115;269.39;1.0;1.0;1.0;0.0;0.0;1.0;down;0.5
116;265.84;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
117;246.93;1.0;1.0;0.0;1.0;1.0;1.0;down;0.0
118;247.68;1.0;1.0;0.0;1.0;0.657978401904113;1.0;down;0.0
119;249.46;1.0;1.0;0.21791245132089374;0.7576192966901188;0.0;0.5815435213798392;down;0.16232227488151718
120;248.09;1.0;1.0;0.39435695336190096;0.4169960474308298;0.0;0.6242257544855054;down;0.29150197628458513
121;252.31;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
122;242.19;1.0;1.0;0.0;1.0;0.0;0.8358589650446996;down;0.0
123;247.69;1.0;1.0;1.0;0.6244742107817016;0.05469212303305516;0.43712712983252566;down;0.5
124;243.98;1.0;0.3029872898484611;0.0;1.0;0.0;0.0;down;0.0
125;245.98;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
126;253.16;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
127;253.79;1.0;0.0;0.04480841120047735;0.9596747291611257;0.0;0.0;no;0.024113475177305166
128;253.45;0.9483775811209924;0.0;0.0;1.0;0.0;0.0;no;0.0
129;260.5;1.0;0.0;1.0;0.0;1.0;0.0;no;0.5
130;255.83;1.0;0.6043368372776163;1.0;0.08650528591110379;1.0;0.5883604951016065;no;0.5
131;254.45;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
132;244.09;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
133;243.53;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
134;234.77;1.0;1.0;0.0;1.0;1.0;1.0;no;0.0
135;237.34;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
136;236.3;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
137;222.87;1.0;1.0;0.5436442286695796;1.0;1.0;1.0;down;0.5
138;216.42;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
139;221.51;1.0;0.7830995134667766;0.0;1.0;0.0;0.0;down;0.0
140;227.59;1.0;1.0;1.0;0.0;0.0;0.4127864528989224;down;0.5
141;221.86;1.0;0.3564889788115603;0.0;1.0;0.0;0.0;down;0.0
142;223.14;1.0;0.0;0.1160631744681979;0.919340774328568;0.7037637070197373;0.0;down;0.1059322033898299
143;222.89;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
144;224.07;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
145;234.13;1.0;0.0;0.44014214681221087;1.0;0.0;0.0;no;0.26401869158878566
146;233.0;1.0;0.0;0.4119263875954392;1.0;0.0;0.0;no;0.23774509803921634
147;235.14;1.0;0.0;1.0;0.0;1.0;0.0;no;0.5
148;231.06;1.0;0.8568114387066056;1.0;0.0;1.0;1.0;no;0.5
149;226.28;1.0;1.0;0.7025062491103811;0.0;1.0;1.0;no;0.5
150;219.49;1.0;0.0;0.0;1.0;0.226714286728717;0.24228701682299966;no;0.0
151;226.01;0.0;0.0;1.0;0.0;0.0;1.0;no;0.5
152;225.11;0.0;0.0;0.0;0.9855757537713884;0.0;0.15415567826919313;no;0.0
153;225.49;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
154;235.75;0.0;0.0;1.0;0.0;0.0;0.0;no;0.5
155;231.96;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
156;233.9;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
157;239.18;0.0;0.0;1.0;0.0;0.1209809551403163;0.0;no;0.5
158;237.93;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
159;234.37;1.0;0.2929365817147137;0.639639041414705;0.34801136363636237;1.0;1.0;up;0.8259943181818188
160;229.78;0.0;0.0;0.0;1.0;0.03019119054783419;0.0;no;0.0
161;236.82;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
162;243.16;0.0;0.0;1.0;0.0;0.0;0.27383826185544063;no;0.5
163;241.4;0.0;0.0;1.0;0.0;1.0;1.0;no;0.5
164;239.08;0.0;0.0;0.03852904228762228;0.4875672182790348;1.0;1.0;no;0.01739130434782872
165;239.0;0.0;0.0;0.5530527363560745;0.3865186134585967;1.0;0.8583372849119046;up;0.7386363636363626
166;241.3;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
167;236.9;0.0;1.0;0.0;0.0;1.0;1.0;up;0.5
168;236.95;0.0;1.0;0.8962761561083649;0.11184210526316761;1.0;1.0;no;0.4440789473684162
169;237.12;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
170;235.6;0.690201729106587;1.0;0.8773180784909648;0.11811023622047685;1.0;1.0;no;0.44094488188976155
171;236.05;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
172;232.24;1.0;1.0;0.20993202275794462;0.7076872337204484;1.0;1.0;no;0.13033175355450421
173;231.69;0.09982486865129614;1.0;0.0;1.0;0.020577449440943085;1.0;no;0.0
174;233.8;0.0;0.0;0.0;0.8090146780991093;0.0;0.36197974611736766;no;0.0
175;235.49;0.6018348623851786;0.0;0.0;1.0;0.0;0.0;no;0.0
176;238.99;1.0;0.0;0.7326376760268779;0.896185715760835;0.0;0.0;no;0.324873096446701
177;237.71;1.0;0.0;0.5798917826434898;0.5671586964580596;0.0;0.0;no;0.2654761904761916
178;239.68;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
179;235.48;1.0;1.0;0.18918277190329813;1.0;1.0;1.0;no;0.08045977011493427
180;236.21;1.0;1.0;0.7322121645268354;1.0;1.0;0.20493609530341644;no;0.3883928571428576
181;235.34;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
182;236.46;1.0;1.0;1.0;0.0;0.4379960662901852;0.9429976533872743;no;0.5
183;236.02;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
184;232.07;1.0;1.0;1.0;0.48892664669143937;1.0;1.0;no;0.5
185;229.08;1.0;1.0;1.0;1.0;1.0;1.0;no;0.5
186;223.67;1.0;1.0;0.0;1.0;1.0;1.0;no;0.0
187;224.78;1.0;1.0;0.7892843392394273;0.12043795620438383;1.0;0.9984264035622407;no;0.43978102189780816
188;225.11;1.0;1.0;0.7144960995918653;0.18179464896547878;0.7084489466875077;1.0;down;0.5
189;222.37;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
190;224.49;1.0;1.0;1.0;0.0;0.0;0.0;down;0.5
191;224.36;1.0;0.5356782029662368;0.18667724552736314;0.8280708534950787;0.0;0.08598612903302791;down;0.14285714285714285
192;222.86;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
193;228.11;1.0;0.0;0.23220237413265157;0.8034769958650743;0.0;0.0;down;0.15151515151515588
194;229.49;1.0;0.0;1.0;0.0;0.0;0.0;no;0.5
195;227.51;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
196;229.01;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
197;229.61;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
198;231.51;0.04385964912283326;0.0;0.0;0.11166384538800254;0.0;0.0;no;0.0
199;231.77;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
200;235.92;0.0;0.0;0.0;0.0;0.0;0.1670335176934626;no;0.0
201;248.75;0.0;0.0;1.0;0.0;1.0;1.0;no;0.5
202;245.78;0.0;0.0;0.7524151769372392;0.3994656872717914;1.0;1.0;no;0.2526766595289085
203;248.09;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
204;243.42;0.0;0.0;0.4251738113294036;0.8998486569812619;1.0;1.0;up;0.5189393939393876
205;244.69;0.0;0.0;0.5720692804178986;0.35807548766239583;1.0;1.0;up;0.6774193548387089
206;243.37;0.0;0.0;0.29449116743534137;0.5622094860976968;0.0;0.9876342809899701;up;0.5
207;247.09;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
208;243.78;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
209;240.69;0.0;1.0;0.0;1.0;1.0;1.0;up;0.5
210;241.65;0.0;0.16793021822809998;0.0;1.0;0.0;0.06812427930400154;up;0.5
211;243.2;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
212;251.17;0.0;0.0;0.5732487749491952;0.6719636090805169;0.0;0.0;up;0.6517379679144375
213;248.9;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
214;256.38;0.0;0.0;0.483478947975303;0.0;0.0;0.10556096341236255;up;0.5
215;264.13;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
216;257.07;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
217;254.69;0.0;0.08471810973771325;0.0;1.0;1.0;0.7237219672068552;up;0.5
218;255.86;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
219;260.74;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
220;270.33;0.0;0.0;1.0;0.0;0.12470222463984959;0.5771694569749979;up;1.0
221;269.47;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
222;266.18;0.0;0.0;0.0;1.0;1.0;0.0;up;0.5
223;269.39;0.0;0.0;0.0;1.0;0.12128930523520103;0.0;up;0.5
224;269.65;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
225;286.61;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
226;292.02;0.0;0.0;0.7001873598913608;0.025393124131416218;0.0;0.6960682767797687;up;0.5005482456140345
227;310.24;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
228;292.0;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
229;287.96;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
230;285.55;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
231;277.23;0.0;1.0;0.39143505362148295;0.19664028521296295;1.0;1.0;up;0.592592592592593
232;279.43;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
233;276.73;0.0;1.0;0.6333806368033492;0.0;1.0;1.0;no;0.27578475336323055
234;275.5;0.0;1.0;0.0;1.0;1.0;1.0;no;0.0
235;277.73;0.0;1.0;0.9993949567765184;0.0;0.25427398688617076;1.0;no;0.43103448275862405
236;276.48;0.0;1.0;0.10584680142551246;0.0;0.0;1.0;no;0.0
237;277.93;0.0;1.0;0.13231047757823627;0.6967940005372821;0.0;0.7911181157444617;no;0.047404063205417395
238;276.67;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
239;289.96;0.0;0.0;0.29216797520952703;0.9159827002043607;0.0;0.0;no;0.08857142857142922
240;289.34;0.9486537257358058;0.0;0.0;1.0;0.0;0.0;no;0.0
241;292.84;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
242;294.27;0.0;0.4377413050574546;1.0;0.0;0.0;0.0;no;0.5
243;293.84;0.0;1.0;1.0;0.0;1.0;0.2908358860400622;no;0.5
244;289.63;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
245;287.73;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
246;284.39;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
247;280.77;0.0;1.0;0.0;1.0;1.0;1.0;no;0.0
248;281.5;0.0;1.0;0.0;1.0;0.0;1.0;no;0.0
249;282.72;0.0;1.0;0.3822952897212465;0.5986789790026303;0.0;0.6769707390762552;no;0.137218045112787
250;284.65;0.0;1.0;1.0;0.0;0.2870287556720177;1.0;no;0.5
251;281.99;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
252;281.99;0.9171681415929169;1.0;1.0;0.0;1.0;1.0;no;0.5
253;279.01;1.0;1.0;1.0;0.17004548706604666;1.0;1.0;no;0.5
254;261.71;1.0;1.0;0.0;1.0;1.0;1.0;no;0.0
255;265.36;1.0;1.0;0.11260527395348445;0.8463855376205494;0.6942112688556564;0.4777269859102743;no;0.09082892416225985
256;264.33;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
257;270.0;1.0;1.0;1.0;0.0;0.0;0.0;down;0.5
258;268.51;1.0;1.0;1.0;0.0;0.0;1.0;down;0.5
259;264.65;1.0;1.0;0.6520469540808893;0.3253647949345742;1.0;0.9274708144959851;down;0.38675213675213665
260;265.71;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
261;261.03;1.0;1.0;1.0;1.0;1.0;1.0;down;0.5
262;256.09;1.0;1.0;0.8804372056616163;0.29872479773984395;1.0;1.0;down;0.47326454033770876
263;256.66;1.0;1.0;1.0;0.20289760991201186;1.0;1.0;down;0.5
264;246.0;1.0;1.0;0.7813584999198155;1.0;1.0;0.0;down;0.5
265;227.1;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
266;235.95;1.0;1.0;1.0;0.0;0.0;0.0;down;0.5
267;233.27;1.0;1.0;1.0;0.0;0.0;0.0;down;0.5
268;230.47;1.0;1.0;1.0;0.0;0.0;1.0;down;0.5
269;228.47;1.0;1.0;0.6025396987402599;0.6792206374079683;0.2834981697490339;0.5095561453988952;down;0.5
270;211.79;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
271;221.64;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
272;225.17;1.0;0.0;0.08527615992365183;0.9453402158156148;0.0;0.0;down;0.08262967430639188
273;223.8;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
274;232.09;1.0;0.0;1.0;0.008997869462987617;0.0;0.0;down;0.5
275;229.23;1.0;0.0;0.3325002813088333;1.0;0.0;0.0;down;0.283687943262406
276;228.43;1.0;0.0;0.02106708464201479;1.0;0.9850755503748994;0.0;down;0.17808219178082235
277;229.84;1.0;0.0;1.0;1.0;1.0;0.0;down;0.5
278;227.65;1.0;0.0;0.13553356471512365;1.0;1.0;0.0;down;0.21717171717171863
279;228.77;1.0;0.0;0.28887015324289683;0.5989104805704298;1.0;0.0;no;0.2302325581395364
280;226.79;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
281;231.09;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
282;235.45;0.0;0.0;0.0;0.0;0.0;0.0;no;0.0
283;240.45;0.0;0.0;0.08655810894162269;0.0;0.0;0.0;no;0.04209183673469198
284;240.12;0.0;0.0;0.3889428467405546;0.02300668883759384;0.38491090449143633;0.7418570228052566;no;0.1776315789473686
285;244.04;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
286;237.96;0.0;0.0;0.0;1.0;1.0;1.0;up;0.5
287;238.5;0.0;0.0;0.6585095556838241;0.05014083754955972;1.0;1.0;up;0.8337182448036948
288;239.94;0.0;0.6751384116096188;1.0;0.0;1.0;1.0;up;1.0
289;235.61;0.0;1.0;1.0;0.0;1.0;1.0;up;1.0
290;230.17;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
291;229.51;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
292;229.3;0.0;1.0;0.21980533984030595;0.848308242148293;0.0;1.0;no;0.15795206971677733
293;227.85;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
294;232.44;0.0;0.0;0.8279894844384723;0.1467181467181443;0.0;0.0;no;0.4266409266409276
295;232.82;1.0;0.0;1.0;0.0;0.39749944631299755;1.0;no;0.5
296;230.23;1.0;0.8020821998487278;0.9812889537727782;0.013761467889908927;1.0;1.0;no;0.4931192660550456
297;230.29;1.0;1.0;0.8556044478290701;0.0;1.0;1.0;no;0.5
298;225.93;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
299;229.59;1.0;0.0;0.03822375026269416;1.0;0.0;0.0;down;0.023809523809524703
300;229.41;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
301;233.19;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
